nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
      8447, 3.385194834E+00, 1.999999953E-01, 2.394276090E+00, 1.657207251E-01,-1.628233240E-02,-8.857165816E-04, 5.003499585E+01, 2.394276103E+00, 1.999999975E-01
      8448,-2.719900555E+00, 2.000000089E-01, 2.396458718E+00, 2.553057667E+00, 3.990256938E-02, 2.217990539E-03, 4.999430736E+01, 2.396458725E+00, 2.000000056E-01
      8449,-4.695472255E+00, 1.999999957E-01, 2.398174538E+00, 2.241629154E+00, 4.062473027E-03, 2.719795314E-04, 4.999982735E+01, 2.396527868E+00, 2.000000020E-01
      8450,-3.238555522E+00, 2.000000129E-01, 2.402693827E+00, 2.481781731E+00, 2.703027158E-02, 1.681213267E-03, 4.999555963E+01, 2.402693826E+00, 2.000000066E-01
      8451, 4.238991470E+00, 2.000000006E-01, 2.402832524E+00, 1.167542967E-01,-1.035512642E-02,-5.903129074E-04, 5.003561083E+01, 2.402832522E+00, 2.000000063E-01
      8452, 2.676070927E+00, 2.000000010E-01, 2.404600002E+00,-7.456591308E-02,-2.474877475E-02,-1.273550879E-03, 5.003870363E+01, 2.404599998E+00, 2.000000064E-01
      8453, 1.500592973E+00, 2.000000079E-01, 2.404902446E+00,-2.090101770E+00,-3.601271215E-02,-1.402709450E-03, 5.007197488E+01, 2.254896722E+00, 2.000000050E-01
      8454,-5.499735484E-01, 2.000000060E-01, 2.407237101E+00,-2.000644609E+00, 9.712465511E-02, 3.531703137E-03, 5.007344217E+01, 2.059812837E+00, 2.000000049E-01
      8455,-2.901150147E+00, 2.000000153E-01, 2.407894419E+00, 2.521942467E+00, 3.505355185E-02, 2.090526247E-03, 4.999471677E+01, 2.407894440E+00, 2.000000071E-01
      8456,-3.690132055E+00, 2.000000024E-01, 2.408939182E+00, 2.379648463E+00, 1.820058815E-02, 1.194792362E-03, 4.999724255E+01, 2.408939185E+00, 1.999999972E-01
      8457,-2.648944626E-01, 2.000000072E-01, 2.410903649E+00,-3.398633670E+00, 8.398444186E-02, 3.645208013E-03, 5.009607496E+01, 1.997039541E+00, 2.000000011E-01
      8458, 2.390253175E+00, 1.999999985E-01, 2.413986029E+00,-3.081984955E-01,-2.891521037E-02,-1.316290646E-03, 5.004246814E+01, 2.413986026E+00, 1.999999987E-01
      8459, 2.567156398E-01, 2.000000062E-01, 2.414514842E+00,-4.847881370E+00, 3.799925747E-02, 1.884282740E-03, 5.011994369E+01, 1.964609558E+00, 2.000000047E-01
      8460,-3.729565903E+00, 2.000000065E-01, 2.415920974E+00, 2.364214422E+00, 1.752206787E-02, 1.119662540E-03, 4.999742697E+01, 2.415920976E+00, 2.000000025E-01
      8461,-4.726965506E+00, 1.999999957E-01, 2.416176314E+00, 2.226925363E+00, 3.651009121E-03, 2.719795314E-04, 4.999985942E+01, 2.416395594E+00, 2.000000020E-01
      8462,-4.382652212E-01, 2.000000032E-01, 2.417146252E+00,-2.567434957E+00, 9.242706483E-02, 3.552330912E-03, 5.008271696E+01, 2.037320143E+00, 2.000000022E-01
      8463,-2.570531638E+00, 2.000000047E-01, 2.421781291E+00, 2.507404346E+00, 4.395147951E-02, 2.252087774E-03, 4.999486635E+01, 2.421781293E+00, 2.000000056E-01
      8464,-1.159728757E+00, 2.000000082E-01, 2.422280412E+00, 5.501490748E-01, 9.388808912E-02, 3.787919059E-03, 5.002968597E+01, 2.316454639E+00, 2.000000087E-01
      8465,-3.943225354E+00, 2.000000110E-01, 2.422365721E+00, 2.315147324E+00, 1.418808224E-02, 9.397149716E-04, 4.999818364E+01, 2.422365710E+00, 2.000000063E-01
      8466,-3.889967622E+00, 2.000000068E-01, 2.423379886E+00, 2.326280693E+00, 1.498580644E-02, 1.026750778E-03, 4.999799037E+01, 2.423379876E+00, 2.000000005E-01
      8467, 1.709556450E+00, 2.000000008E-01, 2.427837743E+00,-1.496762565E+00,-3.533592412E-02,-1.688423074E-03, 5.006165036E+01, 2.375435947E+00, 2.000000028E-01
      8468, 1.725749004E-02, 1.999999973E-01, 2.429251859E+00,-4.322435859E+00, 6.001867430E-02, 2.858053302E-03, 5.011091306E+01, 1.983455104E+00, 2.000000009E-01
      8469, 4.878227178E+00, 2.000000035E-01, 2.429946900E+00, 2.414198946E-02,-8.830056965E-03,-4.627007592E-04, 5.003693149E+01, 2.429946915E+00, 1.166378530E-01
      8470,-1.063457178E+00, 2.000000003E-01, 2.430715117E+00, 1.996228004E-01, 9.548531418E-02, 3.732684161E-03, 5.003545523E+01, 2.277895322E+00, 2.000000044E-01
      8471,-3.674445706E-02, 1.999999995E-01, 2.431328470E+00,-4.171443894E+00, 6.402088674E-02, 3.110562317E-03, 5.010837384E+01, 1.989091971E+00, 2.000000012E-01
      8472, 1.195249235E+00, 2.000000005E-01, 2.431762304E+00,-2.992367597E+00,-2.862733293E-02,-4.009396689E-04, 5.008702210E+01, 2.158172749E+00, 1.999999988E-01
      8473, 3.815233768E+00, 2.000000071E-01, 2.431829166E+00, 1.446525174E-01,-1.256770054E-02,-7.260010910E-04, 5.003484667E+01, 2.431829163E+00, 2.000000023E-01
      8474, 1.935761113E-01, 1.999999979E-01, 2.432606026E+00,-4.694406958E+00, 4.347618276E-02, 2.216290120E-03, 5.011686757E+01, 1.981555409E+00, 2.000000015E-01
      8475, 4.762301032E+00, 1.999999920E-01, 2.432686266E+00, 3.966153994E-02,-8.967854226E-03,-4.759545273E-04, 5.003660853E+01, 2.432686275E+00, 1.999999959E-01
      8476, 1.916361538E+00, 2.000000066E-01, 2.433082481E+00,-1.029910868E+00,-3.381786851E-02,-1.663699141E-03, 5.005421225E+01, 2.430823833E+00, 2.000000008E-01
      8477,-2.275185216E+00, 2.000000046E-01, 2.433139727E+00, 2.412923580E+00, 5.367905926E-02, 3.007575831E-03, 4.999657089E+01, 2.433139718E+00, 2.000000025E-01
      8478, 3.508438687E+00, 2.000000027E-01, 2.433180055E+00, 1.453625827E-01,-1.488318350E-02,-8.321732747E-04, 5.003486044E+01, 2.433180068E+00, 2.000000036E-01
      8479,-4.695476883E+00, 1.999999957E-01, 2.433971393E+00, 2.214341082E+00, 4.037803962E-03, 2.719795314E-04, 4.999984921E+01, 2.434328840E+00, 2.000000020E-01
      8480,-5.000000088E+00, 1.999999930E-01, 2.435336230E+00, 2.208144361E+00, 0.000000000E+00, 0.000000000E+00, 4.999999851E+01, 2.433510131E+00, 0.000000000E+00
      8481, 1.254615949E+00, 2.000000038E-01, 2.435598869E+00,-2.786739724E+00,-3.031258699E-02,-5.893049213E-04, 5.008350231E+01, 2.180942859E+00, 1.999999992E-01
      8482, 4.680835034E-01, 2.000000044E-01, 2.436916256E+00,-4.735998974E+00, 1.771325381E-02, 1.439538099E-03, 5.011768789E+01, 2.002917449E+00, 2.000000010E-01
      8483,-2.351222178E+00, 2.000000012E-01, 2.437514675E+00, 2.430466563E+00, 5.091526435E-02, 2.772062985E-03, 4.999612652E+01, 2.437514675E+00, 2.000000015E-01
      8484,-2.315488086E+00, 2.000000026E-01, 2.437778332E+00, 2.421085258E+00, 5.204703318E-02, 2.843384539E-03, 4.999631021E+01, 2.437778327E+00, 2.000000022E-01
      8485, 3.839032939E-01, 2.000000021E-01, 2.438674103E+00,-4.749837785E+00, 2.572723550E-02, 1.653860168E-03, 5.011814753E+01, 1.995887437E+00, 1.999999948E-01
      8486,-2.860604502E+00, 2.000000140E-01, 2.439035781E+00, 2.478499114E+00, 3.576244933E-02, 2.118327923E-03, 4.999512279E+01, 2.439035799E+00, 2.000000032E-01
      8487,-3.168030731E+00, 2.000000105E-01, 2.440423791E+00, 2.445743079E+00, 2.843894493E-02, 1.769384501E-03, 4.999574309E+01, 2.440423785E+00, 2.000000063E-01
      8488, 4.194578656E+00, 1.999999924E-01, 2.441188005E+00, 1.125119976E-01,-1.051866871E-02,-5.952720923E-04, 5.003525369E+01, 2.441187996E+00, 1.999999991E-01
      8489, 8.081746178E-01, 2.000000057E-01, 2.441735410E+00,-4.129998468E+00,-9.902048195E-03, 1.765607992E-04, 5.010693303E+01, 2.064094454E+00, 2.000000065E-01
      8490, 4.418554584E+00, 2.000000052E-01, 2.442898111E+00, 8.498138793E-02,-9.667278593E-03,-5.193428125E-04, 5.003562632E+01, 2.442898106E+00, 2.000000114E-01
      8491, 4.616277210E+00, 1.999999949E-01, 2.444230838E+00, 6.116769966E-02,-9.226843675E-03,-5.029290795E-04, 5.003606745E+01, 2.444230843E+00, 1.999999953E-01
      8492,-3.672089663E+00, 2.000000090E-01, 2.445292963E+00, 2.345163079E+00, 1.841644054E-02, 1.176888397E-03, 4.999739990E+01, 2.445292967E+00, 2.000000032E-01
